Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec,,,,,,,
50674.73,,,0.038,3958.96,0,0,0,0,0,0,,,0,,50674.73,0,0,0.038,3958.96,,,,,,,,,,,,,,,,,,,
46302.94,,,0.042,3617.42,0,0,0,0,0,0,,,0,,46302.94,0,0,0.042,3617.42,,,,,,,,,,,,,,,,,,,
47149.91,,,0.041,3683.59,0,0,0,0,0,0,,,0,,47149.91,0,0,0.041,3683.59,,,,,,,,,,,,,,,,,,,
25.43,,,78.642,1.99,0,0,0,0,0,0,,,0,,25.43,0,0,78.642,1.99,,,,,,,,,,,,,,,,,,,
45229.63,,,0.042,3533.56,0,0,0,0,0,0,,,0,,45229.63,0,0,0.042,3533.56,,,,,,,,,,,,,,,,,,,
56.03,,,35.691,4.38,0,0,0,0,0,0,,,0,,56.03,0,0,35.691,4.38,,,,,,,,,,,,,,,,,,,
32.69,,,61.199,2.55,0,0,0,0,0,0,,,0,,32.69,0,0,61.199,2.55,,,,,,,,,,,,,,,,,,,
46245.23,,,0.042,3612.91,0,0,0,0,0,0,,,0,,46245.23,0,0,0.042,3612.91,,,,,,,,,,,,,,,,,,,
45895.56,,,0.042,3585.59,0,0,0,0,0,0,,,0,,45895.56,0,0,0.042,3585.59,,,,,,,,,,,,,,,,,,,
46875.07,,,0.041,3662.12,0,0,0,0,0,0,,,0,,46875.07,0,0,0.041,3662.12,,,,,,,,,,,,,,,,,,,
46120.36,,,0.042,3603.15,0,0,0,0,0,0,,,0,,46120.36,0,0,0.042,3603.15,,,,,,,,,,,,,,,,,,,
46056.63,,,0.042,3598.17,0,0,0,0,0,0,,,0,,46056.63,0,0,0.042,3598.17,,,,,,,,,,,,,,,,,,,
47.96,,,41.698,3.75,0,0,0,0,0,0,,,0,,47.96,0,0,41.698,3.75,,,,,,,,,,,,,,,,,,,
49476.78,,,0.039,3865.37,0,0,0,0,0,0,,,0,,49476.78,0,0,0.039,3865.37,,,,,,,,,,,,,,,,,,,
46273.8,,,0.041,3615.14,0,0,0,0,0,0,,,0,,46273.8,0,0,0.041,3615.14,,,,,,,,,,,,,,,,,,,
26.3,,,75.386,2.05,0,0,0,0,0,0,,,0,,26.3,0,0,75.386,2.05,,,,,,,,,,,,,,,,,,,
48484.38,,,0.039,3787.84,0,0,0,0,0,0,,,0,,48484.38,0,0,0.039,3787.84,,,,,,,,,,,,,,,,,,,
46892.44,,,0.041,3663.47,0,0,0,0,0,0,,,0,,46892.44,0,0,0.041,3663.47,,,,,,,,,,,,,,,,,,,
45730.28,,,0.042,3572.68,0,0,0,0,0,0,,,0,,45730.28,0,0,0.042,3572.68,,,,,,,,,,,,,,,,,,,
23.99,,,83.329,1.87,0,0,0,0,0,0,,,0,,23.99,0,0,83.329,1.87,,,,,,,,,,,,,,,,,,,
39644.94,,,0.048,3097.26,0,0,0,0,0,0,,,0,,39644.94,0,0,0.048,3097.26,,,,,,,,,,,,,,,,,,,
39045.57,,,0.049,3050.44,0,0,0,0,0,0,,,0,,39045.57,0,0,0.049,3050.44,,,,,,,,,,,,,,,,,,,
41273.79,,,0.047,3224.51,0,0,0,0,0,0,,,0,,41273.79,0,0,0.047,3224.51,,,,,,,,,,,,,,,,,,,
45788.38,,,0.042,3577.22,0,0,0,0,0,0,,,0,,45788.38,0,0,0.042,3577.22,,,,,,,,,,,,,,,,,,,
47956.46,,,0.04,3746.6,0,0,0,0,0,0,,,0,,47956.46,0,0,0.04,3746.6,,,,,,,,,,,,,,,,,,,
16.97,,,117.87,1.33,0,0,0,0,0,0,,,0,,16.97,0,0,117.87,1.33,,,,,,,,,,,,,,,,,,,
17.07,,,117.154,1.33,0,0,0,0,0,0,,,0,,17.07,0,0,117.154,1.33,,,,,,,,,,,,,,,,,,,
48847.21,,,0.039,3816.19,0,0,0,0,0,0,,,0,,48847.21,0,0,0.039,3816.19,,,,,,,,,,,,,,,,,,,
45794.26,,,0.042,3577.68,0,0,0,0,0,0,,,0,,45794.26,0,0,0.042,3577.68,,,,,,,,,,,,,,,,,,,
42267.21,,,0.045,3302.13,0,0,0,0,0,0,,,0,,42267.21,0,0,0.045,3302.13,,,,,,,,,,,,,,,,,,,
46447.14,,,0.041,3628.68,0,0,0,0,0,0,,,0,,46447.14,0,0,0.041,3628.68,,,,,,,,,,,,,,,,,,,
33879.3,,,0.057,2646.82,0,0,0,0,0,0,,,0,,33879.3,0,0,0.057,2646.82,,,,,,,,,,,,,,,,,,,
48135.01,,,0.04,3760.55,0,0,0,0,0,0,,,0,,48135.01,0,0,0.04,3760.55,,,,,,,,,,,,,,,,,,,
37534.23,,,0.052,2932.36,0,0,0,0,0,0,,,0,,37534.23,0,0,0.052,2932.36,,,,,,,,,,,,,,,,,,,
45120.55,,,0.043,3525.04,0,0,0,0,0,0,,,0,,45120.55,0,0,0.043,3525.04,,,,,,,,,,,,,,,,,,,
46341.14,,,0.042,3620.4,0,0,0,0,0,0,,,0,,46341.14,0,0,0.042,3620.4,,,,,,,,,,,,,,,,,,,
17.14,,,116.709,1.34,0,0,0,0,0,0,,,0,,17.14,0,0,116.709,1.34,,,,,,,,,,,,,,,,,,,
44786.01,,,0.043,3498.91,0,0,0,0,0,0,,,0,,44786.01,0,0,0.043,3498.91,,,,,,,,,,,,,,,,,,,
23.86,,,83.904,1.86,0,0,0,0,0,0,,,0,,23.86,0,0,83.904,1.86,,,,,,,,,,,,,,,,,,,
