Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec
24478.07,,,0.042,1912.35,24478.07,0,24478.07,0.036,860.56,0,,,0,,48956.13,0,24478.07,0.039,2772.91,,,,,,,,,,,,
26296.97,,,0.039,2054.45,26296.97,0,26296.97,0.034,924.5,0,,,0,,52593.93,0,26296.97,0.036,2978.95,,,,,,,,,,,,
22489.4,,,0.044,1756.98,22489.4,0,22489.4,0.038,790.64,0,,,0,,44978.79,0,22489.4,0.041,2547.63,,,,,,,,,,,,
22978.21,,,0.044,1795.17,22978.21,0,22978.21,0.038,807.83,0,,,0,,45956.41,0,22978.21,0.041,2603,,,,,,,,,,,,
22791.56,,,0.045,1780.59,22791.56,0,22791.56,0.038,801.27,0,,,0,,45583.11,0,22791.56,0.041,2581.86,,,,,,,,,,,,
19.43,,,65.559,1.52,19.43,0,19.43,37.113,0.68,0,,,0,,38.85,0,19.43,51.336,2.2,,,,,,,,,,,,
23514.58,,,0.045,1837.08,23514.58,0,23514.58,0.038,826.68,0,,,0,,47029.17,0,23514.58,0.041,2663.76,,,,,,,,,,,,
21.59,,,56.34,1.69,21.59,0,21.59,36.385,0.76,0,,,0,,43.19,0,21.59,46.363,2.45,,,,,,,,,,,,
19.41,,,67.892,1.52,19.41,0,19.41,35.178,0.68,0,,,0,,38.83,0,19.41,51.535,2.2,,,,,,,,,,,,
23322.09,,,0.044,1822.04,23322.09,0,23322.09,0.037,819.92,0,,,0,,46644.18,0,23322.09,0.041,2641.96,,,,,,,,,,,,
22.21,,,56.537,1.74,22.21,0,22.21,33.378,0.78,0,,,0,,44.42,0,22.21,44.958,2.52,,,,,,,,,,,,
24523.93,,,0.043,1915.93,24523.93,0,24523.93,0.036,862.17,0,,,0,,49047.86,0,24523.93,0.039,2778.1,,,,,,,,,,,,
24460.88,,,0.044,1911.01,24460.88,0,24460.88,0.037,859.95,0,,,0,,48921.76,0,24460.88,0.04,2770.96,,,,,,,,,,,,
20049.32,,,0.052,1566.35,20049.32,0,20049.32,0.045,704.86,0,,,0,,40098.64,0,20049.32,0.048,2271.21,,,,,,,,,,,,
24108.82,,,0.043,1883.5,24108.82,0,24108.82,0.037,847.58,0,,,0,,48217.64,0,24108.82,0.04,2731.08,,,,,,,,,,,,
23544.7,,,0.043,1839.43,23544.7,0,23544.7,0.037,827.74,0,,,0,,47089.4,0,23544.7,0.04,2667.17,,,,,,,,,,,,
18.75,,,70.845,1.46,18.75,0,18.75,35.713,0.66,0,,,0,,37.5,0,18.75,53.279,2.12,,,,,,,,,,,,
25998.27,,,0.039,2031.11,25998.27,0,25998.27,0.034,914,0,,,0,,51996.54,0,25998.27,0.037,2945.12,,,,,,,,,,,,
25990.23,,,0.039,2030.49,25990.23,0,25990.23,0.034,913.72,0,,,0,,51980.46,0,25990.23,0.037,2944.21,,,,,,,,,,,,
23083.23,,,0.047,1803.38,23083.23,0,23083.23,0.041,811.52,0,,,0,,46166.45,0,23083.23,0.044,2614.9,,,,,,,,,,,,
23304.92,,,0.043,1820.7,23304.92,0,23304.92,0.037,819.31,0,,,0,,46609.83,0,23304.92,0.04,2640.01,,,,,,,,,,,,
19.19,,,64.411,1.5,19.19,0,19.19,40.042,0.67,0,,,0,,38.37,0,19.19,52.227,2.17,,,,,,,,,,,,
24835.9,,,0.041,1940.3,24835.9,0,24835.9,0.035,873.14,0,,,0,,49671.79,0,24835.9,0.038,2813.44,,,,,,,,,,,,
19.59,,,63.538,1.53,19.59,0,19.59,38.869,0.69,0,,,0,,39.18,0,19.59,51.204,2.22,,,,,,,,,,,,
23439.84,,,0.045,1831.24,23439.84,0,23439.84,0.037,824.06,0,,,0,,46879.69,0,23439.84,0.041,2655.29,,,,,,,,,,,,
23094.31,,,0.045,1804.24,23094.31,0,23094.31,0.038,811.91,0,,,0,,46188.63,0,23094.31,0.041,2616.15,,,,,,,,,,,,
19.79,,,61.671,1.55,19.79,0,19.79,39.482,0.7,0,,,0,,39.57,0,19.79,50.577,2.24,,,,,,,,,,,,
18710.05,,,0.054,1461.72,18710.05,0,18710.05,0.047,657.78,0,,,0,,37420.11,0,18710.05,0.05,2119.5,,,,,,,,,,,,
19.33,,,65.619,1.51,19.33,0,19.33,38.119,0.68,0,,,0,,38.66,0,19.33,51.869,2.19,,,,,,,,,,,,
23124.49,,,0.045,1806.6,23124.49,0,23124.49,0.037,812.97,0,,,0,,46248.98,0,23124.49,0.041,2619.57,,,,,,,,,,,,
24072.6,,,0.043,1880.67,24072.6,0,24072.6,0.036,846.3,0,,,0,,48145.21,0,24072.6,0.04,2726.97,,,,,,,,,,,,
27.34,,,47.954,2.14,27.34,0,27.34,25.229,0.96,0,,,0,,54.68,0,27.34,36.592,3.1,,,,,,,,,,,,
22891.89,,,0.045,1788.43,22891.89,0,22891.89,0.038,804.79,0,,,0,,45783.77,0,22891.89,0.041,2593.22,,,,,,,,,,,,
23463.44,,,0.045,1833.08,23463.44,0,23463.44,0.038,824.89,0,,,0,,46926.88,0,23463.44,0.042,2657.97,,,,,,,,,,,,
19.17,,,69.206,1.5,19.17,0,19.17,34.998,0.67,0,,,0,,38.35,0,19.17,52.102,2.17,,,,,,,,,,,,
23.58,,,51.9,1.84,23.58,0,23.58,32.912,0.83,0,,,0,,47.16,0,23.58,42.406,2.67,,,,,,,,,,,,
26046.14,,,0.04,2034.85,26046.14,0,26046.14,0.034,915.68,0,,,0,,52092.29,0,26046.14,0.037,2950.54,,,,,,,,,,,,
23544.65,,,0.044,1839.43,23544.65,0,23544.65,0.037,827.74,0,,,0,,47089.29,0,23544.65,0.04,2667.17,,,,,,,,,,,,
